Wind power [kW];Nuclear power plant [kW];Demand [kWh];Total power supply [Kw];Supply - Demand;;;;;
1661,848;1357258,06;1295939;1358919,908;62980,908;;;;;
1758,399;1357258,06;1329726;1359016,459;29290,459;;;;;
1683,709;1357258,06;1389830;1358941,769;-30888,231;;;;;
1741,978;1357258,06;1455415;1359000,038;-96414,962;;;;;
1895,06;1357258,06;1503678;1359153,12;-144524,88;;;;;
2104,507;1357258,06;1515883;1359362,567;-156520,433;;;;;
2088,307;1357258,06;1529278;1359346,367;-169931,633;;;;;
2086,537;1357258,06;1527917;1359344,597;-168572,403;;;;;
2006,154;1357258,06;1530632;1359264,214;-171367,786;;;;;
2044,018;1357258,06;1533522;1359302,078;-174219,922;;;;;
2068,707;1357258,06;1547196;1359326,767;-187869,233;;;;;
1931,243;1357258,06;1607075;1359189,303;-247885,697;;;;;
1800,111;1357258,06;1734796;1359058,171;-375737,829;;;;;
1700,333;1357258,06;1819189;1358958,393;-460230,607;;;;;
1558,2;1357258,06;1802378;1358816,26;-443561,74;;;;;
1329,223;1357258,06;1750778;1358587,283;-392190,717;;;;;
1150,852;1357258,06;1696501;1358408,912;-338092,088;;;;;
978,657;1357258,06;1645708;1358236,717;-287471,283;;;;;
706,946;1357258,06;1599311;1357965,006;-241345,994;;;;;
548,679;1357258,06;1562769;1357806,739;-204962,261;;;;;
448,877;1391129,03;1528011;1391577,907;-136433,093;;;;;
348,979;1391129,03;1506146;1391478,009;-114667,991;;;;;
289,054;1391129,03;1501304;1391418,084;-109885,916;;;;;
240,718;1391129,03;1504997;1391369,748;-113627,252;;;;;
196,152;1391129,03;1520952;1391325,182;-129626,818;;;;;
198,685;1391129,03;1550208;1391327,715;-158880,285;;;;;
237,976;1391129,03;1603065;1391367,006;-211697,994;;;;;
325,119;1391129,03;1676790;1391454,149;-285335,851;;;;;
367,46;1391129,03;1755905;1391496,49;-364408,51;;;;;
322,747;1391129,03;1814205;1391451,777;-422753,223;;;;;
358,536;1391129,03;1816719;1391487,566;-425231,434;;;;;
388,824;1391129,03;1779278;1391517,854;-387760,146;;;;;
449,005;1391129,03;1730185;1391578,035;-338606,965;;;;;
597,814;1391129,03;1679997;1391726,844;-288270,156;;;;;
811,342;1391129,03;1673236;1391940,372;-281295,628;;;;;
862,982;1391129,03;1748312;1391992,012;-356319,988;;;;;
886,296;1391129,03;1923730;1392015,326;-531714,674;;;;;
829,554;1391129,03;2033389;1391958,584;-641430,416;;;;;
811,058;1391129,03;2036174;1391940,088;-644233,912;;;;;
826,637;1391129,03;1975160;1391955,667;-583204,333;;;;;
791,345;1391129,03;1901531;1391920,375;-509610,625;;;;;
777,563;1391129,03;1832173;1391906,593;-440266,407;;;;;
829,542;1391129,03;1757308;1391958,572;-365349,428;;;;;
867,828;1391129,03;1672819;1391996,858;-280822,142;;;;;
867,584;1324193,55;1606560;1325061,134;-281498,866;;;;;
846,728;1324193,55;1552426;1325040,278;-227385,722;;;;;
876,663;1324193,55;1512972;1325070,213;-187901,787;;;;;
873,538;1324193,55;1485561;1325067,088;-160493,912;;;;;
892,411;1324193,55;1471443;1325085,961;-146357,039;;;;;
917,121;1324193,55;1479702;1325110,671;-154591,329;;;;;
913,539;1324193,55;1517617;1325107,089;-192509,911;;;;;
829,572;1324193,55;1575055;1325023,122;-250031,878;;;;;
644,629;1324193,55;1628259;1324838,179;-303420,821;;;;;
546,227;1324193,55;1656046;1324739,777;-331306,223;;;;;
518,16;1324193,55;1686147;1324711,71;-361435,29;;;;;
529,992;1324193,55;1711956;1324723,542;-387232,458;;;;;
597,542;1324193,55;1729259;1324791,092;-404467,908;;;;;
793,287;1324193,55;1720743;1324986,837;-395756,163;;;;;
1068,052;1324193,55;1720008;1325261,602;-394746,398;;;;;
1205,331;1324193,55;1755942;1325398,881;-430543,119;;;;;
1217,999;1324193,55;1862426;1325411,549;-537014,451;;;;;
1491,516;1324193,55;1913237;1325685,066;-587551,934;;;;;
1497,429;1324193,55;1877889;1325690,979;-552198,021;;;;;
1758,453;1324193,55;1786312;1325952,003;-460359,997;;;;;
2083,291;1324193,55;1688212;1326276,841;-361935,159;;;;;
2329,272;1324193,55;1609249;1326522,822;-282726,178;;;;;
2425,442;1324193,55;1534968;1326618,992;-208349,008;;;;;
2364,572;1324193,55;1458450;1326558,122;-131891,878;;;;;
2093,508;1384677,42;1395141;1386770,928;-8370,072;;;;;
1711,764;1384677,42;1350473;1386389,184;35916,184;;;;;
1487,621;1384677,42;1323764;1386165,041;62401,041;;;;;
1288,567;1384677,42;1311328;1385965,987;74637,987;;;;;
1043,46;1384677,42;1314138;1385720,88;71582,88;;;;;
860,327;1384677,42;1331883;1385537,747;53654,747;;;;;
666,195;1384677,42;1362068;1385343,615;23275,615;;;;;
504,342;1384677,42;1411315;1385181,762;-26133,238;;;;;
359,913;1384677,42;1476452;1385037,333;-91414,667;;;;;
219,47;1384677,42;1539114;1384896,89;-154217,11;;;;;
116,356;1384677,42;1600699;1384793,776;-215905,224;;;;;
86,218;1384677,42;1651894;1384763,638;-267130,362;;;;;
133,306;1384677,42;1679591;1384810,726;-294780,274;;;;;
263,942;1384677,42;1671928;1384941,362;-286986,638;;;;;
438,724;1384677,42;1665343;1385116,144;-280226,856;;;;;
671,914;1384677,42;1685280;1385349,334;-299930,666;;;;;
1019,577;1384677,42;1789458;1385696,997;-403761,003;;;;;
1282,453;1384677,42;1837899;1385959,873;-451939,127;;;;;
1595,568;1384677,42;1809615;1386272,988;-423342,012;;;;;
1698,459;1384677,42;1725331;1386375,879;-338955,121;;;;;
1918,055;1384677,42;1637854;1386595,475;-251258,525;;;;;
2272,524;1384677,42;1568556;1386949,944;-181606,056;;;;;
2412,328;1384677,42;1503437;1387089,748;-116347,252;;;;;
2575,753;1384677,42;1436524;1387253,173;-49270,827;;;;;
2684,902;1417741,94;1384467;1420426,842;35959,842;;;;;
2810,163;1417741,94;1347213;1420552,103;73339,103;;;;;
2890,459;1417741,94;1331957;1420632,399;88675,399;;;;;
2924,893;1417741,94;1324024;1420666,833;96642,833;;;;;
2962,592;1417741,94;1327923;1420704,532;92781,532;;;;;
2978,565;1417741,94;1338757;1420720,505;81963,505;;;;;
2995,809;1417741,94;1364250;1420737,749;56487,749;;;;;
3028,08;1417741,94;1409423;1420770,02;11347,02;;;;;
2991,48;1417741,94;1473344;1420733,42;-52610,58;;;;;
2953,335;1417741,94;1543635;1420695,275;-122939,725;;;;;
2943,005;1417741,94;1604955;1420684,945;-184270,055;;;;;
2927,899;1417741,94;1638846;1420669,839;-218176,161;;;;;
2862,147;1417741,94;1649795;1420604,087;-229190,913;;;;;
2780,689;1417741,94;1639756;1420522,629;-219233,371;;;;;
2688,616;1417741,94;1637508;1420430,556;-217077,444;;;;;
2615,641;1417741,94;1679824;1420357,581;-259466,419;;;;;
2536,767;1417741,94;1801307;1420278,707;-381028,293;;;;;
2517,186;1417741,94;1858484;1420259,126;-438224,874;;;;;
2437,324;1417741,94;1837594;1420179,264;-417414,736;;;;;
